Geography,TRACTCE,name,SquareMile
1400000US24031703202,703202,Rossmoor / Leisure World,1.59394432034
1400000US24031703202,703202,Bel Pre / Strathmore,1.59394432034
1400000US24031703202,703202,Aspen Hill,1.59394432034
1400000US24031703202,703202,Rockville,1.59394432034
1400000US24031703206,703206,Bel Pre / Strathmore,1.0300978261
1400000US24031703206,703206,Glenmont,1.0300978261
1400000US24031703207,703207,Wheaton,1.55196310612
1400000US24031703207,703207,Colesville,1.55196310612
1400000US24031703207,703207,Kemp Mill,1.55196310612
1400000US24031703207,703207,Glenmont,1.55196310612
1400000US24031703208,703208,Wheaton,1.41944347934
1400000US24031703208,703208,Glenmont,1.41944347934
1400000US24031703208,703208,Kemp Mill,1.41944347934
1400000US24031703208,703208,White Oak,1.41944347934
1400000US24031703208,703208,Colesville,1.41944347934
1400000US24031703209,703209,Wheaton,0.689896678221
1400000US24031703209,703209,Kemp Mill,0.689896678221
1400000US24031703210,703210,Kemp Mill,0.601091687607
1400000US24031703210,703210,Wheaton,0.601091687607
1400000US24031703210,703210,White Oak,0.601091687607
1400000US24031703210,703210,Four Corners,0.601091687607
1400000US24031703213,703213,Bel Pre / Strathmore,0.227575483845
1400000US24031703213,703213,Rossmoor / Leisure World,0.227575483845
1400000US24031703214,703214,Bel Pre / Strathmore,0.69536918214
1400000US24031703214,703214,Rossmoor / Leisure World,0.69536918214
1400000US24031703215,703215,Glenmont,0.543864264439
1400000US24031703215,703215,Bel Pre / Strathmore,0.543864264439
1400000US24031703216,703216,Rossmoor / Leisure World,0.518621970867
1400000US24031703216,703216,Bel Pre / Strathmore,0.518621970867
1400000US24031703218,703218,Norbeck / Norwood,0.237967404052
1400000US24031703218,703218,Rossmoor / Leisure World,0.237967404052
1400000US24031703219,703219,Rossmoor / Leisure World,0.379054576301
1400000US24031703219,703219,Bel Pre / Strathmore,0.379054576301
1400000US24031703219,703219,Norbeck / Norwood,0.379054576301
1400000US24031703220,703220,Rossmoor / Leisure World,0.858095026747
1400000US24031703220,703220,Bel Pre / Strathmore,0.858095026747
1400000US24031703220,703220,Norbeck / Norwood,0.858095026747
1400000US24031703221,703221,Layhill,1.27175649162
1400000US24031703221,703221,Bel Pre / Strathmore,1.27175649162
1400000US24031703221,703221,Norbeck / Norwood,1.27175649162
1400000US24031703222,703222,Glenmont,0.628478373511
1400000US24031703222,703222,Colesville,0.628478373511
1400000US24031703223,703223,Colesville,1.81301760891
1400000US24031703223,703223,Layhill,1.81301760891
1400000US24031703223,703223,Glenmont,1.81301760891
1400000US24031703223,703223,Bel Pre / Strathmore,1.81301760891
1400000US24031703301,703301,Aspen Hill,0.580223723353
1400000US24031703301,703301,Rock Creek,0.580223723353
1400000US24031703302,703302,Glenmont,0.647061796441
1400000US24031703302,703302,Rock Creek,0.647061796441
1400000US24031703302,703302,Bel Pre / Strathmore,0.647061796441
1400000US24031703302,703302,Aspen Hill,0.647061796441
1400000US24031703401,703401,Glenmont,0.687563903697
1400000US24031703401,703401,Rock Creek,0.687563903697
1400000US24031703401,703401,Kensington,0.687563903697
1400000US24031703401,703401,Aspen Hill,0.687563903697
1400000US24031703402,703402,Glenmont,0.488676041013
1400000US24031703402,703402,Aspen Hill,0.488676041013
1400000US24031703402,703402,Bel Pre / Strathmore,0.488676041013
1400000US24031703403,703403,Glenmont,0.468952174931
1400000US24031703404,703404,Kensington,0.221163602767
1400000US24031703404,703404,Glenmont,0.221163602767
1400000US24031703501,703501,Kensington,0.882391261754
1400000US24031703501,703501,Rock Creek,0.882391261754
1400000US24031703501,703501,North Bethesda,0.882391261754
1400000US24031703501,703501,Aspen Hill,0.882391261754
1400000US24031703502,703502,Kensington,0.550491822756
1400000US24031703502,703502,Rock Creek,0.550491822756
1400000US24031703502,703502,North Bethesda,0.550491822756
1400000US24031703601,703601,Kensington,0.687064865606
1400000US24031703602,703602,Kensington,0.42673274749
1400000US24031703602,703602,Wheaton,0.42673274749
1400000US24031703602,703602,Forest Glen,0.42673274749
1400000US24031703701,703701,Kensington,0.459841760183
1400000US24031703701,703701,Glenmont,0.459841760183
1400000US24031703701,703701,Wheaton,0.459841760183
1400000US24031703702,703702,Glenmont,0.479713342524
1400000US24031703702,703702,Kensington,0.479713342524
1400000US24031703702,703702,Wheaton,0.479713342524
1400000US24031703800,703800,Wheaton,0.469197783959
1400000US24031703800,703800,Kensington,0.469197783959
1400000US24031703901,703901,Forest Glen,0.550045482919
1400000US24031703901,703901,Kemp Mill,0.550045482919
1400000US24031703901,703901,Silver Spring,0.550045482919
1400000US24031703901,703901,Wheaton,0.550045482919
1400000US24031703902,703902,Kemp Mill,0.839456725789
1400000US24031703902,703902,Forest Glen,0.839456725789
1400000US24031703902,703902,Wheaton,0.839456725789
1400000US24031704000,704000,Forest Glen,0.874540742666
1400000US24031704000,704000,Silver Spring,0.874540742666
1400000US24031704000,704000,Kemp Mill,0.874540742666
1400000US24031704000,704000,Kensington,0.874540742666
1400000US24031704000,704000,Wheaton,0.874540742666
1400000US24031704100,704100,Bethesda,1.46932667628
1400000US24031704100,704100,Kensington,1.46932667628
1400000US24031704100,704100,West Silver Spring,1.46932667628
1400000US24031704100,704100,Forest Glen,1.46932667628
1400000US24031704100,704100,Chevy Chase,1.46932667628
1400000US24031704200,704200,Kensington,0.502520325753
1400000US24031704300,704300,Kensington,0.802528775659
